phate1,phate2,CCAT,velocity_length,A,K,P,WENR,mac,fib,curatedCLUST,OWNsig_stemO_UCell,OWNsig_stemS_UCell,condition,inverse_vvl,dist,deg,dist_scaled,inv_deg_scaled,potency_med,dynamic_med,VR
0.032852539,0.001274929,0.20895089991227478,135.5257028,0,0,0,0,0,0,Late Enterocyte,0.0,0.076592593,WT,0.2873986167174698,0.013306470955490486,7,0.07650834375261889,0.5102040816326529,0.22036948484902785,0.1899124122989119,0.1997855247764305
0.016646056,-0.013257749,0.3024575620014568,243.2251477,0,0,0,0,0,0,Early Enterocyte,0.0,0.033481481,WT,0.060177058110342324,0.010257190455656677,5,0.05184235722256503,1.0,0.3216785982449472,0.0931566128278711,0.28999368426043914
-0.005956022,-0.00661555,0.4491820394460544,257.2943271,0,0,0,0,0,0,TA 1,0.041555556,0.146296296,WT,0.04454211539596112,0.005750264616114012,9,0.0492856859359887,0.18518518518518512,0.418506847419291,0.06268998905912201,0.3769651345885717
0.035936769,0.003704836,0.13147834228765265,224.5483737,0,0,0,0,0,0,Late Enterocyte,0.0,0.041925926,WT,0.08395912998516616,0.016668248771462644,6,0.15981991539595725,0.7142857142857141,0.22036948484902785,0.1899124122989119,0.20136771493075048
-0.008819886,0.011921558,0.6372824097684404,265.6881983,0,0,0,0,0,0,revCSC,0.0,0.335018519,WT,0.03600274129830386,0.011660977009578098,5,0.4485020530798878,0.9999999999999999,0.5609374172393626,0.054304337184330836,0.5072792361872579
-0.003540484,-0.008309563,0.4054003409095128,263.1421121,0,0,0,0,0,0,TA 1,0.0,0.234092593,WT,0.03853540016246118,0.00561790732085536,7,0.04129398372627474,0.47619047619047605,0.418506847419291,0.06268998905912201,0.37691503461616266
0.012983611,-0.009036548,0.24230520429746683,138.6549248,0,0,0,0,0,0,Early Enterocyte,0.0,0.137740741,WT,0.2758176284750773,0.009954152391232051,7,0.04086199904517546,0.4285714285714284,0.3216785982449472,0.0931566128278711,0.2898913949628949
0.025800483,-0.0004,0.05084392765987478,180.2136216,0,0,0,0,0,0,Late Enterocyte,0.0,0.185351852,WT,0.1601517608317645,0.010513563259802999,7,0.007294510382369168,0.5102040816326529,0.22036948484902785,0.1899124122989119,0.1984710681704506
0.004891455,0.003981058,0.3896423783073263,147.2212728,0,0,0,0,0,0,revCSC,0.0,0.342240741,WT,0.2466328729926022,0.011638409383777576,7,0.4466971190794685,0.5102040816326529,0.5609374172393626,0.054304337184330836,0.5072694346128025
0.018745077,-0.006154114,0.17869881264460608,176.5094769,0,0,0,0,0,0,Late Enterocyte,0.0,0.098092593,WT,0.1682501476141207,0.012458441873614735,8,0.05549248860756517,0.3571428571428571,0.22036948484902785,0.1899124122989119,0.19938640760171833
